epoch,accuracy,loss,val_accuracy,val_loss
0,0.36866870522499084,1.3312255144119263,0.44092220067977905,1.2809407711029053
1,0.63935786485672,1.0112258195877075,0.6685879230499268,0.9180254936218262
2,0.7910323739051819,0.5871089696884155,0.6829971075057983,0.7761294841766357
3,0.8447273969650269,0.4180034101009369,0.6916426420211792,0.7943370342254639
4,0.8790478706359863,0.3309847116470337,0.7002881765365601,0.8405526280403137
5,0.9047882556915283,0.27097275853157043,0.680115282535553,0.8653372526168823
6,0.9180735945701599,0.22922320663928986,0.6714697480201721,0.9302875399589539
7,0.9421533346176147,0.18476475775241852,0.6858789920806885,0.9754758477210999
8,0.9523941278457642,0.15728974342346191,0.6945244669914246,1.007318377494812
9,0.9576529264450073,0.13997338712215424,0.6685879230499268,1.0791648626327515
10,0.9651259183883667,0.11918270587921143,0.6916426420211792,1.1604868173599243
11,0.9648491740226746,0.11312253028154373,0.7031700015068054,1.1417286396026611
12,0.971491813659668,0.10157348960638046,0.6887608170509338,1.2132437229156494
13,0.973429262638092,0.10039631277322769,0.6945244669914246,1.2559292316436768
14,0.974259614944458,0.08559410274028778,0.6829971075057983,1.2727675437927246
15,0.975089967250824,0.07981529831886292,0.6858789920806885,1.3607301712036133
16,0.9739828109741211,0.07566259056329727,0.6772334575653076,1.405208945274353
17,0.9761970639228821,0.07744380831718445,0.6887608170509338,1.4227285385131836
18,0.9778577089309692,0.0696561262011528,0.680115282535553,1.4786709547042847
19,0.9773041605949402,0.0674915760755539,0.6455331444740295,1.5198570489883423
20,0.9775809645652771,0.06966301798820496,0.6858789920806885,1.4976683855056763
21,0.9745364189147949,0.06941746920347214,0.6657060384750366,1.532652735710144
22,0.9800719618797302,0.06008727476000786,0.6685879230499268,1.538945198059082
23,0.9753667116165161,0.0644131600856781,0.680115282535553,1.5218456983566284
24,0.9795184135437012,0.056461725383996964,0.6772334575653076,1.6385575532913208
